Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",Hungary,Men,100M Freestyle,Summer
1896,Athens,Aquatics,Swimming,"MALOKINIS, Ioannis",Greece,Men,100M Freestyle For Sailors,Summer
1896,Athens,Aquatics,Swimming,"HAJOS, Alfred",Hungary,Men,1200M Freestyle,Summer
1896,Athens,Aquatics,Swimming,"NEUMANN, Paul",Austria,Men,400M Freestyle,Summer
1896,Athens,Athletics,Athletics,"BURKE, Thomas",United States,Men,100M,Summer
1896,Athens,Athletics,Athletics,"CURTIS, Thomas",United States,Men,110M Hurdles,Summer
1896,Athens,Athletics,Athletics,"FLACK, Edwin",Australia,Men,1500M,Summer
1896,Athens,Athletics,Athletics,"BURKE, Thomas",United States,Men,400M,Summer
1896,Athens,Athletics,Athletics,"FLACK, Edwin",Australia,Men,800M,Summer
1896,Athens,Athletics,Athletics,"GARRETT, Robert",United States,Men,Discus Throw,Summer
1896,Athens,Athletics,Athletics,"CLARK, Ellery",United States,Men,High Jump,Summer
1896,Athens,Athletics,Athletics,"CLARK, Ellery",United States,Men,Long Jump,Summer
1896,Athens,Athletics,Athletics,"LOUIS, Spyridon",Greece,Men,Marathon,Summer
1896,Athens,Athletics,Athletics,"HOYT, William Welles",United States,Men,Pole Vault,Summer
1896,Athens,Athletics,Athletics,"GARRETT, Robert",United States,Men,Shot Put,Summer
1896,Athens,Athletics,Athletics,"CONNOLLY, James",United States,Men,Triple Jump,Summer
1896,Athens,Cycling,Cycling Road,"KONSTANTINIDIS, Aristidis",Greece,Men,Individual Road Race,Summer
1896,Athens,Cycling,Cycling Track,"FLAMENG, Léon",France,Men,100KM,Summer
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",France,Men,10KM,Summer
1896,Athens,Cycling,Cycling Track,"SCHMAL, Adolf",Austria,Men,12-Hour Race,Summer
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",France,Men,1KM Time Trial,Summer
1896,Athens,Cycling,Cycling Track,"MASSON, Paul",France,Men,Sprint Indivual,Summer
1896,Athens,Fencing,Fencing,"GRAVELOTTE, Eugène-Henri",France,Men,Foil Individual,Summer
1896,Athens,Fencing,Fencing,"PYRGOS, Leonidas",Greece,Men,"Foil, Masters",Summer
1896,Athens,Fencing,Fencing,"GEORGIADIS, Ioannis",Greece,Men,Sabre Individual,Summer
1896,Athens,Gymnastics,Artistic G.,"WEINGÄRTNER, Hermann",Germany,Men,Horizontal Bar,Summer
